date,player_1,player_2,winner,target
2024-04-22,Miomir Kecmanovic,Zhizhen Zhang,Miomir Kecmanovic,1
2024-04-22,Christopher Oconnell,Matteo Arnaldi,Matteo Arnaldi,0
2024-04-22,Max Purcell,Marcos Giron,Max Purcell,1
2024-04-22,Dominik Koepfer,Roberto Carballes Baena,Roberto Carballes Baena,0
2024-04-22,Tomas Machac,Emil Ruusuvuori,Tomas Machac,1
2024-04-22,Darwin Blanch,Rafael Nadal,Rafael Nadal,0
2024-04-22,Pedro Cachin,Sebastian Ofner,Pedro Cachin,1
2024-04-22,Aleksandar Kovacevic,Hamad Medjedovic,Hamad Medjedovic,0
2024-04-22,Thiago Monteiro,Dusan Lajovic,Thiago Monteiro,1
2024-04-22,Thanasi Kokkinakis,Jack Draper,Jack Draper,0
2024-04-22,Daniel Altmaier,Martin Landaluce,Daniel Altmaier,1
2024-04-22,Zizou Bergs,Luca Van Assche,Luca Van Assche,0
2024-04-22,Luciano Darderi,Gael Monfils,Luciano Darderi,1
2024-04-22,Pablo Llamas Ruiz,Lukas Klein,Lukas Klein,0
2024-04-22,Fabian Marozsan,Aslan Karatsev,Fabian Marozsan,1
2024-04-22,Facundo Diaz Acosta,Denis Shapovalov,Denis Shapovalov,0
2024-04-22,Borna Coric,Benjamin Hassan,Borna Coric,1
2024-04-22,Brandon Nakashima,Facundo Bagnis,Facundo Bagnis,0
2024-04-22,Juncheng Shang,Corentin Moutet,Juncheng Shang,1
2024-04-22,Aleksandar Vukic,Taro Daniel,Taro Daniel,0
2024-04-22,Mariano Navone,Alexei Popyrin,Mariano Navone,1
2024-04-22,Christopher Eubanks,Botic Van De Zandschulp,Botic Van De Zandschulp,0
2024-04-22,Jaume Munar,Nuno Borges,Jaume Munar,1
2024-04-22,Roman Safiullin,Thiago Seyboth Wild,Thiago Seyboth Wild,0
2024-04-22,Alexander Shevchenko,Arthur Rinderknech,Alexander Shevchenko,1
2024-05-06,Nicolas Jarry,Alexander Zverev,Alexander Zverev,0
2024-05-06,Alexander Zverev,Alejandro Tabilo,Alexander Zverev,1
2024-05-06,Tommy Paul,Nicolas Jarry,Nicolas Jarry,0
2024-05-06,Alejandro Tabilo,Zhizhen Zhang,Alejandro Tabilo,1
2024-05-06,Taylor Fritz,Alexander Zverev,Alexander Zverev,0
2024-05-06,Nicolas Jarry,Stefanos Tsitsipas,Nicolas Jarry,1
2024-05-06,Hubert Hurkacz,Tommy Paul,Tommy Paul,0
2024-05-06,Alejandro Tabilo,Karen Khachanov,Alejandro Tabilo,1
2024-05-06,Thiago Monteiro,Zhizhen Zhang,Zhizhen Zhang,0
2024-05-06,Alexander Zverev,Nuno Borges,Alexander Zverev,1
2024-05-06,Grigor Dimitrov,Taylor Fritz,Taylor Fritz,0
2024-05-06,Stefanos Tsitsipas,Alex De Minaur,Stefanos Tsitsipas,1
2024-05-06,Alexandre Muller,Nicolas Jarry,Nicolas Jarry,0
2024-05-06,Hubert Hurkacz,Sebastian Baez,Hubert Hurkacz,1
2024-05-06,Daniil Medvedev,Tommy Paul,Tommy Paul,0
2024-05-06,Alejandro Tabilo,Novak Djokovic,Alejandro Tabilo,1
2024-05-06,Francisco Cerundolo,Karen Khachanov,Karen Khachanov,0
2024-05-06,Zhizhen Zhang,Ben Shelton,Zhizhen Zhang,1
2024-05-06,Miomir Kecmanovic,Thiago Monteiro,Thiago Monteiro,0
2024-05-06,Alexander Zverev,Luciano Darderi,Alexander Zverev,1
2024-05-06,Francesco Passaro,Nuno Borges,Nuno Borges,0
2024-05-06,Taylor Fritz,Sebastian Korda,Taylor Fritz,1
2024-05-06,Terence Atmane,Grigor Dimitrov,Grigor Dimitrov,0
2024-05-06,Stefanos Tsitsipas,Cameron Norrie,Stefanos Tsitsipas,1
2024-05-06,Felix Auger Aliassime,Alex De Minaur,Alex De Minaur,0
2024-05-06,Nicolas Jarry,Stefano Napolitano,Nicolas Jarry,1
2024-05-06,Andrey Rublev,Alexandre Muller,Alexandre Muller,0
2024-05-06,Hubert Hurkacz,Tomas Martin Etcheverry,Hubert Hurkacz,1
2024-05-06,Holger Rune,Sebastian Baez,Sebastian Baez,0
2024-05-06,Tommy Paul,Dominik Koepfer,Tommy Paul,1
2024-05-06,Hamad Medjedovic,Daniil Medvedev,Daniil Medvedev,0
2024-05-06,Novak Djokovic,Corentin Moutet,Novak Djokovic,1
2024-05-06,Yannick Hanfmann,Alejandro Tabilo,Alejandro Tabilo,0
2024-05-06,Francisco Cerundolo,Matteo Gigante,Francisco Cerundolo,1
2024-05-06,Alexander Shevchenko,Karen Khachanov,Karen Khachanov,0
2024-05-06,Ben Shelton,Pavel Kotov,Ben Shelton,1
2024-05-06,Adrian Mannarino,Zhizhen Zhang,Zhizhen Zhang,0
2024-05-06,Thiago Monteiro,Jordan Thompson,Thiago Monteiro,1
2024-05-06,Casper Ruud,Miomir Kecmanovic,Miomir Kecmanovic,0
2024-05-06,Alexander Zverev,Aleksandar Vukic,Alexander Zverev,1
2024-05-06,Mariano Navone,Luciano Darderi,Luciano Darderi,0
2024-05-06,Francesco Passaro,Tallon Griekspoor,Francesco Passaro,1
2024-05-06,Alexander Bublik,Nuno Borges,Nuno Borges,0
2024-05-06,Taylor Fritz,Fabio Fognini,Taylor Fritz,1
2024-05-06,Flavio Cobolli,Sebastian Korda,Sebastian Korda,0
2024-05-06,Terence Atmane,Lorenzo Musetti,Terence Atmane,1
2024-05-06,Yoshihito Nishioka,Grigor Dimitrov,Grigor Dimitrov,0
2024-05-06,Stefanos Tsitsipas,Jan Lennard Struff,Stefanos Tsitsipas,1
2024-05-06,Jaume Munar,Cameron Norrie,Cameron Norrie,0
2024-05-06,Felix Auger Aliassime,Botic Van De Zandschulp,Felix Auger Aliassime,1
2024-05-06,Roberto Carballes Baena,Alex De Minaur,Alex De Minaur,0
2024-05-06,Stefano Napolitano,Juncheng Shang,Stefano Napolitano,1
2024-05-06,Matteo Arnaldi,Nicolas Jarry,Nicolas Jarry,0
2024-05-06,Alexandre Muller,Arthur Fils,Alexandre Muller,1
2024-05-06,Marcos Giron,Andrey Rublev,Andrey Rublev,0
2024-05-06,Hubert Hurkacz,Rafael Nadal,Hubert Hurkacz,1
2024-05-06,Thiago Seyboth Wild,Tomas Martin Etcheverry,Tomas Martin Etcheverry,0
2024-05-06,Sebastian Baez,Dusan Lajovic,Sebastian Baez,1
2024-05-06,Luca Nardi,Holger Rune,Holger Rune,0
2024-05-06,Tommy Paul,Aslan Karatsev,Tommy Paul,1
2024-05-06,Frances Tiafoe,Dominik Koepfer,Dominik Koepfer,0
2024-05-06,Hamad Medjedovic,Alejandro Davidovich Fokina,Hamad Medjedovic,1
2024-05-06,Jack Draper,Daniil Medvedev,Daniil Medvedev,0
2024-05-06,Corentin Moutet,Roman Safiullin,Corentin Moutet,1
2024-05-06,Jakub Mensik,Yannick Hanfmann,Yannick Hanfmann,0
2024-05-06,Matteo Gigante,Giulio Zeppieri,Matteo Gigante,1
2024-05-06,Fabian Marozsan,Alexander Shevchenko,Alexander Shevchenko,0
2024-05-06,Pavel Kotov,Alex Michelsen,Pavel Kotov,1
2024-05-06,Daniel Elahi Galan,Zhizhen Zhang,Zhizhen Zhang,0
2024-05-06,Thiago Monteiro,Gael Monfils,Thiago Monteiro,1
2024-05-06,Brandon Nakashima,Miomir Kecmanovic,Miomir Kecmanovic,0
2024-05-06,Aleksandar Vukic,Diego Schwartzman,Aleksandar Vukic,1
2024-05-06,Denis Shapovalov,Luciano Darderi,Luciano Darderi,0
2024-05-06,Francesco Passaro,Arthur Rinderknech,Francesco Passaro,1
2024-05-06,Pedro Martinez,Nuno Borges,Nuno Borges,0
2024-05-06,Fabio Fognini,Daniel Evans,Fabio Fognini,1
2024-05-06,Maximilian Marterer,Flavio Cobolli,Flavio Cobolli,0
2024-05-06,Terence Atmane,Christopher Eubanks,Terence Atmane,1
2024-05-06,Sebastian Ofner,Yoshihito Nishioka,Yoshihito Nishioka,0
2024-05-06,Jan Lennard Struff,Pedro Cachin,Jan Lennard Struff,1
2024-05-06,Rinky Hijikata,Jaume Munar,Jaume Munar,0
2024-05-06,Botic Van De Zandschulp,Nicolas Moreno De Alboran,Botic Van De Zandschulp,1
2024-05-06,Christopher Oconnell,Roberto Carballes Baena,Roberto Carballes Baena,0
2024-05-06,Stefano Napolitano,J J Wolf,Stefano Napolitano,1
2024-05-06,Harold Mayot,Matteo Arnaldi,Matteo Arnaldi,0
2024-05-06,Alexandre Muller,Marton Fucsovics,Alexandre Muller,1
2024-05-06,Emil Ruusuvuori,Marcos Giron,Marcos Giron,0
2024-05-06,Rafael Nadal,Zizou Bergs,Rafael Nadal,1
2024-05-06,Gregoire Barrere,Thiago Seyboth Wild,Thiago Seyboth Wild,0
2024-05-06,Dusan Lajovic,Lorenzo Sonego,Dusan Lajovic,1
2024-05-06,Daniel Altmaier,Luca Nardi,Luca Nardi,0
2024-05-06,Aslan Karatsev,Mackenzie Mcdonald,Aslan Karatsev,1
2024-05-06,Andrea Vavassori,Dominik Koepfer,Dominik Koepfer,0
2024-05-06,Hamad Medjedovic,Alexei Popyrin,Hamad Medjedovic,1
2024-05-06,Borna Coric,Jack Draper,Jack Draper,0
2024-05-20,Casper Ruud,Tomas Machac,Casper Ruud,1
2024-05-20,Novak Djokovic,Tomas Machac,Tomas Machac,0
2024-05-20,Casper Ruud,Flavio Cobolli,Casper Ruud,1
2024-05-20,Tallon Griekspoor,Novak Djokovic,Novak Djokovic,0
2024-05-20,Tomas Machac,Alex Michelsen,Tomas Machac,1
2024-05-20,Alexander Shevchenko,Flavio Cobolli,Flavio Cobolli,0
2024-05-20,Casper Ruud,Sebastian Baez,Casper Ruud,1
2024-05-20,Yannick Hanfmann,Novak Djokovic,Novak Djokovic,0
2024-05-20,Tallon Griekspoor,Denis Shapovalov,Tallon Griekspoor,1
2024-05-20,Taylor Fritz,Alex Michelsen,Alex Michelsen,0
2024-05-20,Tomas Machac,Nicolas Moreno De Alboran,Tomas Machac,1
2024-05-20,Emil Ruusuvuori,Alexander Shevchenko,Alexander Shevchenko,0
2024-05-20,Flavio Cobolli,Ben Shelton,Flavio Cobolli,1
2024-05-20,Roberto Carballes Baena,Sebastian Baez,Sebastian Baez,0
2024-05-20,Casper Ruud,Sebastian Ofner,Casper Ruud,1
2024-05-20,Andy Murray,Yannick Hanfmann,Yannick Hanfmann,0
2024-05-20,Denis Shapovalov,Federico Coria,Denis Shapovalov,1
2024-05-20,Christopher Eubanks,Tallon Griekspoor,Tallon Griekspoor,0
2024-05-20,Alex Michelsen,Aleksandar Kovacevic,Alex Michelsen,1
2024-05-20,David Goffin,Nicolas Moreno De Alboran,Nicolas Moreno De Alboran,0
2024-05-20,Tomas Machac,Jack Draper,Tomas Machac,1
2024-05-20,Fabian Marozsan,Alexander Shevchenko,Alexander Shevchenko,0
2024-05-20,Emil Ruusuvuori,Marcos Giron,Emil Ruusuvuori,1
2024-05-20,Aslan Karatsev,Flavio Cobolli,Flavio Cobolli,0
2024-05-20,Sebastian Baez,Sumit Nagal,Sebastian Baez,1
2024-05-20,Daniel Altmaier,Roberto Carballes Baena,Roberto Carballes Baena,0
2024-05-20,Sebastian Ofner,Rinky Hijikata,Sebastian Ofner,1
2024-05-20,Tomas Martin Etcheverry,Giovanni Mpetshi Perricard,Giovanni Mpetshi Perricard,0
2024-05-20,Tomas Martin Etcheverry,Luciano Darderi,Tomas Martin Etcheverry,1
2024-05-20,Alexander Bublik,Giovanni Mpetshi Perricard,Giovanni Mpetshi Perricard,0
2024-05-20,Tomas Martin Etcheverry,Dominik Koepfer,Tomas Martin Etcheverry,1
2024-05-20,Arthur Rinderknech,Luciano Darderi,Luciano Darderi,0
2024-05-20,Giovanni Mpetshi Perricard,Hugo Gaston,Giovanni Mpetshi Perricard,1
2024-05-20,Pavel Kotov,Alexander Bublik,Alexander Bublik,0
2024-05-20,Dominik Koepfer,Ugo Humbert,Dominik Koepfer,1
2024-05-20,Thiago Seyboth Wild,Tomas Martin Etcheverry,Tomas Martin Etcheverry,0
2024-05-20,Luciano Darderi,Adrian Mannarino,Luciano Darderi,1
2024-05-20,Frances Tiafoe,Arthur Rinderknech,Arthur Rinderknech,0
2024-05-20,Giovanni Mpetshi Perricard,Yoshihito Nishioka,Giovanni Mpetshi Perricard,1
2024-05-20,Francisco Cerundolo,Hugo Gaston,Hugo Gaston,0
2024-05-20,Pavel Kotov,Alexandre Muller,Pavel Kotov,1
2024-05-20,Aleksandar Vukic,Alexander Bublik,Alexander Bublik,0
2024-05-20,Dominik Koepfer,Javier Barranco Cosano,Dominik Koepfer,1
2024-05-20,Pedro Martinez,Thiago Seyboth Wild,Thiago Seyboth Wild,0
2024-05-20,Tomas Martin Etcheverry,Nikolas Sanchez Izquierdo,Tomas Martin Etcheverry,1
2024-05-20,Taro Daniel,Luciano Darderi,Luciano Darderi,0
2024-05-20,Arthur Rinderknech,Daniel Evans,Arthur Rinderknech,1
2024-05-20,Jaume Munar,Frances Tiafoe,Frances Tiafoe,0
2024-05-20,Yoshihito Nishioka,Sebastian Fanselow,Yoshihito Nishioka,1
2024-05-20,Lorenzo Sonego,Giovanni Mpetshi Perricard,Giovanni Mpetshi Perricard,0
2024-05-20,Hugo Gaston,Daniel Elahi Galan,Hugo Gaston,1
2024-05-20,Pedro Cachin,Pavel Kotov,Pavel Kotov,0
2024-05-20,Alexandre Muller,Richard Gasquet,Alexandre Muller,1
2024-05-20,Mackenzie Mcdonald,Aleksandar Vukic,Aleksandar Vukic,0
2024-05-27,Carlos Alcaraz,Alexander Zverev,Carlos Alcaraz,1
2024-05-27,Jannik Sinner,Carlos Alcaraz,Carlos Alcaraz,0
2024-05-27,Alexander Zverev,Casper Ruud,Alexander Zverev,1
2024-05-27,Novak Djokovic,Casper Ruud,Casper Ruud,0
2024-05-27,Jannik Sinner,Grigor Dimitrov,Jannik Sinner,1
2024-05-27,Stefanos Tsitsipas,Carlos Alcaraz,Carlos Alcaraz,0
2024-05-27,Alexander Zverev,Alex De Minaur,Alexander Zverev,1
2024-05-27,Francisco Cerundolo,Novak Djokovic,Novak Djokovic,0
2024-05-27,Jannik Sinner,Corentin Moutet,Jannik Sinner,1
2024-05-27,Felix Auger Aliassime,Carlos Alcaraz,Carlos Alcaraz,0
2024-05-27,Alexander Zverev,Holger Rune,Alexander Zverev,1
2024-05-27,Daniil Medvedev,Alex De Minaur,Alex De Minaur,0
2024-05-27,Casper Ruud,Taylor Fritz,Casper Ruud,1
2024-05-27,Hubert Hurkacz,Grigor Dimitrov,Grigor Dimitrov,0
2024-05-27,Stefanos Tsitsipas,Matteo Arnaldi,Stefanos Tsitsipas,1
2024-05-27,Lorenzo Musetti,Novak Djokovic,Novak Djokovic,0
2024-05-27,Jannik Sinner,Pavel Kotov,Jannik Sinner,1
2024-05-27,Sebastian Korda,Carlos Alcaraz,Carlos Alcaraz,0
2024-05-27,Alexander Zverev,Tallon Griekspoor,Alexander Zverev,1
2024-05-27,Tomas Machac,Daniil Medvedev,Daniil Medvedev,0
2024-05-27,Matteo Arnaldi,Andrey Rublev,Matteo Arnaldi,1
2024-05-27,Tomas Martin Etcheverry,Casper Ruud,Casper Ruud,0
2024-05-27,Hubert Hurkacz,Denis Shapovalov,Hubert Hurkacz,1
2024-05-27,Zhizhen Zhang,Stefanos Tsitsipas,Stefanos Tsitsipas,0
2024-05-27,Grigor Dimitrov,Zizou Bergs,Grigor Dimitrov,1
2024-05-27,Jan Lennard Struff,Alex De Minaur,Alex De Minaur,0
2024-05-27,Taylor Fritz,Thanasi Kokkinakis,Taylor Fritz,1
2024-05-27,Jozef Kovalik,Holger Rune,Holger Rune,0
2024-05-27,Francisco Cerundolo,Tommy Paul,Francisco Cerundolo,1
2024-05-27,Ben Shelton,Felix Auger Aliassime,Felix Auger Aliassime,0
2024-05-27,Corentin Moutet,Sebastian Ofner,Corentin Moutet,1
2024-05-27,Roberto Carballes Baena,Novak Djokovic,Novak Djokovic,0
2024-05-27,Jannik Sinner,Richard Gasquet,Jannik Sinner,1
2024-05-27,Jesper De Jong,Carlos Alcaraz,Carlos Alcaraz,0
2024-05-27,Alexander Zverev,David Goffin,Alexander Zverev,1
2024-05-27,Miomir Kecmanovic,Daniil Medvedev,Daniil Medvedev,0
2024-05-27,Andrey Rublev,Pedro Martinez,Andrey Rublev,1
2024-05-27,Alejandro Davidovich Fokina,Casper Ruud,Casper Ruud,0
2024-05-27,Hubert Hurkacz,Brandon Nakashima,Hubert Hurkacz,1
2024-05-27,Daniel Altmaier,Stefanos Tsitsipas,Stefanos Tsitsipas,0
2024-05-27,Grigor Dimitrov,Fabian Marozsan,Grigor Dimitrov,1
2024-05-27,Jaume Munar,Alex De Minaur,Alex De Minaur,0
2024-05-27,Taylor Fritz,Dusan Lajovic,Taylor Fritz,1
2024-05-27,Flavio Cobolli,Holger Rune,Holger Rune,0
2024-05-27,Tommy Paul,Fabio Fognini,Tommy Paul,1
2024-05-27,Kei Nishikori,Ben Shelton,Ben Shelton,0
2024-05-27,Jozef Kovalik,Karen Khachanov,Jozef Kovalik,1
2024-05-27,Alexander Bublik,Jan Lennard Struff,Jan Lennard Struff,0
2024-05-27,Sebastian Ofner,Sebastian Baez,Sebastian Ofner,1
2024-05-27,Henri Squire,Felix Auger Aliassime,Felix Auger Aliassime,0
2024-05-27,Francisco Cerundolo,Filip Misolic,Francisco Cerundolo,1
2024-05-27,Frances Tiafoe,Denis Shapovalov,Denis Shapovalov,0
2024-05-27,Tallon Griekspoor,Luciano Darderi,Tallon Griekspoor,1
2024-05-27,Soon Woo Kwon,Sebastian Korda,Sebastian Korda,0
2024-05-27,Tomas Martin Etcheverry,Arthur Rinderknech,Tomas Martin Etcheverry,1
2024-05-27,Gael Monfils,Lorenzo Musetti,Lorenzo Musetti,0
2024-05-27,Tomas Machac,Mariano Navone,Tomas Machac,1
2024-05-27,Alexandre Muller,Matteo Arnaldi,Matteo Arnaldi,0
2024-05-27,Zizou Bergs,Maximilian Marterer,Zizou Bergs,1
2024-05-27,Giulio Zeppieri,Thanasi Kokkinakis,Thanasi Kokkinakis,0
2024-05-27,Pavel Kotov,Stan Wawrinka,Pavel Kotov,1
2024-05-27,Alexander Shevchenko,Corentin Moutet,Corentin Moutet,0
2024-05-27,Zhizhen Zhang,Lorenzo Sonego,Zhizhen Zhang,1
2024-05-27,Pierre Hugues Herbert,Novak Djokovic,Novak Djokovic,0
2024-05-27,Jannik Sinner,Christopher Eubanks,Jannik Sinner,1
2024-05-27,J J Wolf,Carlos Alcaraz,Carlos Alcaraz,0
2024-05-27,Alexander Zverev,Rafael Nadal,Alexander Zverev,1
2024-05-27,Dominik Koepfer,Daniil Medvedev,Daniil Medvedev,0
2024-05-27,Andrey Rublev,Taro Daniel,Andrey Rublev,1
2024-05-27,Felipe Meligeni Alves,Casper Ruud,Casper Ruud,0
2024-05-27,Hubert Hurkacz,Shintaro Mochizuki,Hubert Hurkacz,1
2024-05-27,Marton Fucsovics,Stefanos Tsitsipas,Stefanos Tsitsipas,0
2024-05-27,Grigor Dimitrov,Aleksandar Kovacevic,Grigor Dimitrov,1
2024-05-27,Alex Michelsen,Alex De Minaur,Alex De Minaur,0
2024-05-27,Taylor Fritz,Federico Coria,Taylor Fritz,1
2024-05-27,Daniel Evans,Holger Rune,Holger Rune,0
2024-05-27,Tommy Paul,Pedro Cachin,Tommy Paul,1
2024-05-27,Hugo Gaston,Ben Shelton,Ben Shelton,0
2024-05-27,Corentin Moutet,Nicolas Jarry,Corentin Moutet,1
2024-05-27,Ugo Humbert,Lorenzo Sonego,Lorenzo Sonego,0
2024-05-27,Karen Khachanov,Sumit Nagal,Karen Khachanov,1
2024-05-27,Gregoire Barrere,Alexander Bublik,Alexander Bublik,0
2024-05-27,Sebastian Baez,Gustavo Heide,Sebastian Baez,1
2024-05-27,Yoshihito Nishioka,Felix Auger Aliassime,Felix Auger Aliassime,0
2024-05-27,Giulio Zeppieri,Adrian Mannarino,Giulio Zeppieri,1
2024-05-27,Yannick Hanfmann,Francisco Cerundolo,Francisco Cerundolo,0
2024-05-27,Zizou Bergs,Alejandro Tabilo,Zizou Bergs,1
2024-05-27,Mattia Bellucci,Frances Tiafoe,Frances Tiafoe,0
2024-05-27,Tallon Griekspoor,Mackenzie Mcdonald,Tallon Griekspoor,1
2024-05-27,Harold Mayot,Sebastian Korda,Sebastian Korda,0
2024-05-27,Tomas Martin Etcheverry,Arthur Cazaux,Tomas Martin Etcheverry,1
2024-05-27,Arthur Fils,Matteo Arnaldi,Matteo Arnaldi,0
2024-05-27,Lorenzo Musetti,Daniel Elahi Galan,Lorenzo Musetti,1
2024-05-27,Pablo Carreno Busta,Mariano Navone,Mariano Navone,0
2024-05-27,Pavel Kotov,Cameron Norrie,Pavel Kotov,1
2024-05-27,Laslo Djere,Daniel Altmaier,Daniel Altmaier,0
2024-05-27,Roberto Carballes Baena,Constant Lestienne,Roberto Carballes Baena,1
2024-05-27,Hamad Medjedovic,Flavio Cobolli,Flavio Cobolli,0
2024-05-27,Luciano Darderi,Rinky Hijikata,Luciano Darderi,1
2024-05-27,Valentin Vacherot,Alejandro Davidovich Fokina,Alejandro Davidovich Fokina,0
2024-05-27,Jesper De Jong,Jack Draper,Jesper De Jong,1
2024-05-27,Botic Van De Zandschulp,Fabio Fognini,Fabio Fognini,0
2024-05-27,Richard Gasquet,Borna Coric,Richard Gasquet,1
2024-05-27,Giovanni Mpetshi Perricard,David Goffin,David Goffin,0
2024-05-27,Miomir Kecmanovic,Thiago Monteiro,Miomir Kecmanovic,1
2024-05-27,Alexei Popyrin,Thanasi Kokkinakis,Thanasi Kokkinakis,0
2024-05-27,Jozef Kovalik,Marcos Giron,Jozef Kovalik,1
2024-05-27,Emil Ruusuvuori,Soon Woo Kwon,Soon Woo Kwon,0
2024-05-27,Dusan Lajovic,Roman Safiullin,Dusan Lajovic,1
2024-05-27,Nuno Borges,Tomas Machac,Tomas Machac,0
2024-05-27,Fabian Marozsan,Mikhail Kukushkin,Fabian Marozsan,1
2024-05-27,Jordan Thompson,Maximilian Marterer,Maximilian Marterer,0
2024-05-27,Pedro Martinez,Thiago Agustin Tirante,Pedro Martinez,1
2024-05-27,Otto Virtanen,Filip Misolic,Filip Misolic,0
2024-05-27,Gael Monfils,Thiago Seyboth Wild,Gael Monfils,1
2024-05-27,Luca Nardi,Alexandre Muller,Alexandre Muller,0
2024-05-27,Jaume Munar,Roberto Bautista Agut,Jaume Munar,1
2024-05-27,Nicolas Moreno De Alboran,Brandon Nakashima,Brandon Nakashima,0
2024-05-27,Kei Nishikori,Gabriel Diallo,Kei Nishikori,1
2024-05-27,Terence Atmane,Sebastian Ofner,Sebastian Ofner,0
2024-05-27,Arthur Rinderknech,Adam Walton,Arthur Rinderknech,1
2024-05-27,Luca Van Assche,Denis Shapovalov,Denis Shapovalov,0
2024-05-27,Alexander Shevchenko,Aslan Karatsev,Alexander Shevchenko,1
2024-05-27,Max Purcell,Henri Squire,Henri Squire,0
2024-05-27,Jan Lennard Struff,Roman Andres Burruchaga,Jan Lennard Struff,1
2024-05-27,Andy Murray,Stan Wawrinka,Stan Wawrinka,0
2024-05-27,Zhizhen Zhang,Aleksandar Vukic,Zhizhen Zhang,1
2024-06-10,Sebastian Korda,Alex De Minaur,Alex De Minaur,0
2024-06-10,Alex De Minaur,Ugo Humbert,Alex De Minaur,1
2024-06-10,Tallon Griekspoor,Sebastian Korda,Sebastian Korda,0
2024-06-10,Alex De Minaur,Milos Raonic,Alex De Minaur,1
2024-06-10,Gijs Brouwer,Ugo Humbert,Ugo Humbert,0
2024-06-10,Tallon Griekspoor,Aleksandar Vukic,Tallon Griekspoor,1
2024-06-10,Tommy Paul,Sebastian Korda,Sebastian Korda,0
2024-06-10,Alex De Minaur,Zizou Bergs,Alex De Minaur,1
2024-06-10,Roberto Bautista Agut,Milos Raonic,Milos Raonic,0
2024-06-10,Ugo Humbert,Arthur Fils,Ugo Humbert,1
2024-06-10,Adrian Mannarino,Gijs Brouwer,Gijs Brouwer,0
2024-06-10,Tallon Griekspoor,Mackenzie Mcdonald,Tallon Griekspoor,1
2024-06-10,Karen Khachanov,Aleksandar Vukic,Aleksandar Vukic,0
2024-06-10,Sebastian Korda,Luca Nardi,Sebastian Korda,1
2024-06-10,Alexei Popyrin,Tommy Paul,Tommy Paul,0
2024-06-10,Zizou Bergs,Tim Van Rijthoven,Zizou Bergs,1
2024-06-10,Marc Andrea Huesler,Roberto Bautista Agut,Roberto Bautista Agut,0
2024-06-10,Milos Raonic,Jordan Thompson,Milos Raonic,1
2024-06-10,Arthur Cazaux,Arthur Fils,Arthur Fils,0
2024-06-10,Gijs Brouwer,Jakub Mensik,Gijs Brouwer,1
2024-06-10,Stefano Napolitano,Adrian Mannarino,Adrian Mannarino,0
2024-06-10,Tallon Griekspoor,Miomir Kecmanovic,Tallon Griekspoor,1
2024-06-10,Botic Van De Zandschulp,Mackenzie Mcdonald,Mackenzie Mcdonald,0
2024-06-10,Aleksandar Vukic,Max Purcell,Aleksandar Vukic,1
2024-06-10,Tristan Schoolkate,Sebastian Korda,Sebastian Korda,0
2024-06-10,Luca Nardi,David Goffin,Luca Nardi,1
2024-06-10,Rinky Hijikata,Alexei Popyrin,Alexei Popyrin,0
2024-06-10,Jack Draper,Matteo Berrettini,Jack Draper,1
2024-06-10,Brandon Nakashima,Jack Draper,Jack Draper,0
2024-06-10,Matteo Berrettini,Lorenzo Musetti,Matteo Berrettini,1
2024-06-10,Jan Lennard Struff,Brandon Nakashima,Brandon Nakashima,0
2024-06-10,Jack Draper,Frances Tiafoe,Jack Draper,1
2024-06-10,Alexander Bublik,Lorenzo Musetti,Lorenzo Musetti,0
2024-06-10,Matteo Berrettini,James Duckworth,Matteo Berrettini,1
2024-06-10,Richard Gasquet,Brandon Nakashima,Brandon Nakashima,0
2024-06-10,Jan Lennard Struff,Arthur Rinderknech,Jan Lennard Struff,1
2024-06-10,Yannick Hanfmann,Frances Tiafoe,Frances Tiafoe,0
2024-06-10,Jack Draper,Marcos Giron,Jack Draper,1
2024-06-10,Dominik Koepfer,Lorenzo Musetti,Lorenzo Musetti,0
2024-06-10,Alexander Bublik,Hamad Medjedovic,Alexander Bublik,1
2024-06-10,Denis Shapovalov,Matteo Berrettini,Matteo Berrettini,0
2024-06-10,James Duckworth,Ben Shelton,James Duckworth,1
2024-06-10,Christopher Eubanks,Brandon Nakashima,Brandon Nakashima,0
2024-06-10,Arthur Rinderknech,Alex Michelsen,Arthur Rinderknech,1
2024-06-10,Flavio Cobolli,Jan Lennard Struff,Jan Lennard Struff,0
2024-06-10,Yannick Hanfmann,Henri Squire,Yannick Hanfmann,1
2024-06-10,Andy Murray,Marcos Giron,Marcos Giron,0
2024-06-10,Jack Draper,Sebastian Ofner,Jack Draper,1
2024-06-10,Giovanni Mpetshi Perricard,Lorenzo Musetti,Lorenzo Musetti,0
2024-06-10,Dominik Koepfer,Zhizhen Zhang,Dominik Koepfer,1
2024-06-10,Fabian Marozsan,Hamad Medjedovic,Hamad Medjedovic,0
2024-06-10,Matteo Berrettini,Roman Safiullin,Matteo Berrettini,1
2024-06-10,Matteo Martineau,Denis Shapovalov,Denis Shapovalov,0
2024-06-10,James Duckworth,Pierre Hugues Herbert,James Duckworth,1
2024-06-17,Hubert Hurkacz,Jannik Sinner,Jannik Sinner,0
2024-06-17,Jannik Sinner,Zhizhen Zhang,Jannik Sinner,1
2024-06-17,Alexander Zverev,Hubert Hurkacz,Hubert Hurkacz,0
2024-06-17,Jannik Sinner,Jan Lennard Struff,Jannik Sinner,1
2024-06-17,Christopher Eubanks,Zhizhen Zhang,Zhizhen Zhang,0
